id_cliente,edad,ingreso_mensual,nivel_educativo,ciudad,fecha_vinculacion,saldo_actual,cuotas_pagadas,cuotas_totales,estado_cuenta,score_externo
CLI-100000,71,11525805,Posgrado,Cali,2021-04-07,4484274,26,48,Al día,790.0
CLI-100001,25,0,Tecnólogo,SANTA MARTA,2015-04-02,476422,32,36,Al día,747.0
CLI-100002,34,2186293,Secundaria,SANTA MARTA,2020-11-25,362454,3,6,Al día,367.0
CLI-100003,73,0,Tecnólogo,ibague,2016-11-23,2225927,28,48,Al día,533.0
CLI-100004,45,0,Universitario,CARTAGENA,2023-06-18,8870010,19,48,Al día,685.0
CLI-100005,23,0,Secundaria,Pereira,2025-06-23,6202056,15,36,Al día,727.0
CLI-100006,0,2124042,Secundaria,Bogota,2021-12-22,12788353,53,48,Al día,694.0
CLI-100007,25,0,Secundaria,villavicencio,2020-05-08,7289199,23,48,Al día,373.0
CLI-100008,53,0,Universitario,Bogota,2018-04-28,6565417,5,24,Al día,331.0
CLI-100009,43,1968049,Secundaria,"Santa Marta, Magdalena",2017-03-04,0,48,48,Cancelado,363.0
CLI-100010,66,5060452,Universitario,BGA,2018-12-13,6511667,2,18,Al día,532.0
CLI-100011,23,3441751,Técnico,Barranqilla,2015-06-16,0,6,6,Cancelado,369.0
CLI-100012,2,900000,Primaria,Ibague,2021-04-06,1533943,13,18,Al día,412.0
CLI-100013,61,2672990,Tecnólogo,Cucuta,2021-11-24,5456738,32,48,Al día,693.0
CLI-100014,59,2519334,Tecnólogo,CÚCUTA,2024-12-27,5360212,6,24,Al día,408.0
CLI-100015,72,1842514,Técnico,Pereira,2024-01-13,2260605,40,48,Al día,479.0
CLI-100016,31,3777572,Técnico,Santiago de Cali,2016-08-10,0,18,18,Cancelado,583.0
CLI-100017,2,3642521,Técnico,cucuta,2023-01-22,2776940,1,6,Moroso,726.0
CLI-100018,47,4244147,Tecnólogo,"Villavicencio, Meta",2017-12-03,747479,4,6,Al día,847.0
CLI-100019,67,900000,Secundaria,BGA,2023-08-18,1894822,6,12,Al día,582.0
CLI-100020,60,4665113,Tecnólogo,"Ibagué, Tolima",2019-12-24,314564,5,6,Al día,839.0
CLI-100021,47,1565038,Secundaria,Santa Marta,2016-12-15,0,12,12,Cancelado,479.0
CLI-100022,22,1889784,Técnico,Cucuta,2019-12-06,1163491,2,6,Al día,717.0
CLI-100023,34,3844477,Posgrado,Ibague,2022-07-25,5854510,19,48,Al día,532.0
CLI-100024,78,0,Secundaria,PEREIRA,2016-05-01,1613741,8,18,Al día,353.0
CLI-100025,61,0,Posgrado,Villavicencio,2016-10-09,1824090,1,6,Al día,771.0
CLI-100026,1,3067116,Técnico,Bta,2019-05-30,1495343,17,24,Al día,790.0
CLI-100027,75,0,Universitario,Ibagué,2018-10-23,354081,3,6,Al día,592.0
CLI-100028,63,0,Técnico,"Cali, Valle",2025-02-06,1218276,14,18,Al día,372.0
CLI-100029,53,0,Universitario,MEDELLÍN,2022-09-17,1004405,17,24,Al día,770.0
CLI-100030,29,9568213,Posgrado,Sta Marta,2019-01-29,2502561,21,36,Al día,800.0
CLI-100031,42,0,Secundaria,Ibagué,2017-05-26,1775027,14,18,Al día,507.0
CLI-100032,74,3328143,Técnico,Pereira,2025-03-26,0,48,48,Cancelado,674.0
CLI-100033,35,1159988,Secundaria,Bta,2019-11-21,2423975,42,48,Al día,608.0
CLI-100034,20,0,Universitario,Med.,2017-05-05,286719,10,12,Al día,677.0
CLI-100035,36,900000,Tecnólogo,Sta Marta,2023-10-23,3039412,4,12,Al día,466.0
CLI-100036,32,0,Posgrado,CAL,2019-09-10,629040,13,18,Al día,
CLI-100037,21,4259822,Universitario,IBAGUÉ,2021-09-06,495707,31,36,Al día,551.0
CLI-100038,29,1817103,Secundaria,MANIZALES,2019-10-01,0,36,36,Cancelado,
CLI-100039,53,7150901,Posgrado,B/manga,2019-05-26,1484205,7,12,Al día,822.0
CLI-100040,78,3409193,Universitario,Manizales,2023-07-04,6945651,6,18,Moroso,504.0
CLI-100041,34,1425023,Técnico,"Barranquilla, Atlántico",2016-05-15,1292353,3,6,Al día,754.0
