indice,id_cliente,variable,valor,outlier_IQR,outlier_Zscore,z_score,limite_inferior_IQR,limite_superior_IQR,skewness,metodo_recomendado,hipotesis
0,CLI-100000,ingreso_mensual,11525805,True,True,3.810666052535662,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
30,CLI-100030,ingreso_mensual,9568213,True,False,2.9990635288354652,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
97,CLI-100097,ingreso_mensual,12051997,True,True,4.028821191681538,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
101,CLI-100101,ingreso_mensual,9406922,True,False,2.9321935259696343,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
104,CLI-100104,ingreso_mensual,10644038,True,True,3.4450922646801994,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
123,CLI-100123,ingreso_mensual,8843857,True,False,2.698751125813089,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
141,CLI-100141,ingreso_mensual,11571109,True,True,3.829448741029339,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
198,CLI-100198,ingreso_mensual,9526075,True,False,2.981593439489126,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
230,CLI-100230,ingreso_mensual,10616149,True,True,3.433529700681432,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
252,CLI-100252,ingreso_mensual,11279944,True,True,3.708733980847867,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
298,CLI-100298,ingreso_mensual,13092793,True,True,4.460327174673433,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
339,CLI-100339,ingreso_mensual,10694740,True,True,3.4661129222823184,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
348,CLI-100348,ingreso_mensual,9284665,True,False,2.8815067180239464,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
481,CLI-100481,ingreso_mensual,9799935,True,True,3.0951336803261014,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
484,CLI-100484,ingreso_mensual,9561308,True,False,2.996200769166367,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
541,CLI-100541,ingreso_mensual,9821570,True,True,3.1041033842277588,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
547,CLI-100547,ingreso_mensual,10217688,True,True,3.2683308476026984,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
589,CLI-100589,ingreso_mensual,10462193,True,True,3.3697007321635857,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
600,CLI-100600,ingreso_mensual,10234006,True,True,3.275096164370309,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
649,CLI-100649,ingreso_mensual,9420625,True,False,2.9378746839342478,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
661,CLI-100661,ingreso_mensual,11653935,True,True,3.86378776092112,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
668,CLI-100668,ingreso_mensual,10602414,True,True,3.427835275763971,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
710,CLI-100710,ingreso_mensual,9449021,True,False,2.9496474462171904,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
719,CLI-100719,ingreso_mensual,8891750,True,False,2.7186071937105742,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
725,CLI-100725,ingreso_mensual,8783988,True,False,2.6739299008124724,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
864,CLI-100864,ingreso_mensual,9912508,True,True,3.1418055766663513,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
982,CLI-100982,ingreso_mensual,8887067,True,False,2.7166656580798154,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
983,CLI-100983,ingreso_mensual,10971923,True,True,3.5810308532540382,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1033,CLI-101033,ingreso_mensual,9078489,True,False,2.7960277408282836,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1064,CLI-101064,ingreso_mensual,8973928,True,False,2.7526775578071963,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1081,CLI-101081,ingreso_mensual,11954484,True,True,3.988393055025086,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1111,CLI-101111,ingreso_mensual,9351424,True,False,2.909184483809514,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1113,CLI-101113,ingreso_mensual,9190468,True,False,2.842453369356304,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1133,CLI-101133,ingreso_mensual,11738979,True,True,3.899046346482136,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1138,CLI-101138,ingreso_mensual,9857302,True,True,3.1189175954509634,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1227,CLI-101227,ingreso_mensual,9857133,True,True,3.118847529356238,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1575,CLI-101575,ingreso_mensual,11450249,True,True,3.7793411184938943,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1680,CLI-101680,ingreso_mensual,9882372,True,True,3.129311423822332,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1693,CLI-101693,ingreso_mensual,8744145,True,False,2.657411300740656,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1812,CLI-101812,ingreso_mensual,9045498,True,False,2.7823499270349124,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1856,CLI-101856,ingreso_mensual,9062419,True,False,2.7893652429452405,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
1907,CLI-101907,ingreso_mensual,11884726,True,True,3.959471927002353,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
1979,CLI-101979,ingreso_mensual,8892893,True,False,2.7190810726825916,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
2000,CLI-102000,ingreso_mensual,9740257,True,True,3.0703916424502924,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2134,CLI-102134,ingreso_mensual,9943285,True,True,3.1545654831595944,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2203,CLI-102203,ingreso_mensual,12886312,True,True,4.374721746833444,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2217,CLI-102217,ingreso_mensual,8794617,True,False,2.6783366021191846,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
2235,CLI-102235,ingreso_mensual,10330237,True,True,3.3149927937283126,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2295,CLI-102295,ingreso_mensual,12488846,True,True,4.209935413069808,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2362,CLI-102362,ingreso_mensual,9744861,True,True,3.072300425291209,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2384,CLI-102384,ingreso_mensual,10820595,True,True,3.518291433238783,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2444,CLI-102444,ingreso_mensual,9908812,True,True,3.1402732436124787,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2465,CLI-102465,ingreso_mensual,9349804,True,False,2.9085128443216157,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
2513,CLI-102513,ingreso_mensual,9858553,True,True,3.1194362503888406,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2575,CLI-102575,ingreso_mensual,11094981,True,True,3.632049749613187,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2622,CLI-102622,ingreso_mensual,11343006,True,True,3.7348789989872864,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2626,CLI-102626,ingreso_mensual,11856864,True,True,3.9479205569950504,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2678,CLI-102678,ingreso_mensual,12840038,True,True,4.355536903831581,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2717,CLI-102717,ingreso_mensual,9807193,True,True,3.0981427910687973,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2750,CLI-102750,ingreso_mensual,11213837,True,True,3.6813265292265647,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2769,CLI-102769,ingreso_mensual,10826663,True,True,3.5208071791724675,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2795,CLI-102795,ingreso_mensual,9797329,True,True,3.094053252853593,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2953,CLI-102953,ingreso_mensual,11171919,True,True,3.663947650181051,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2954,CLI-102954,ingreso_mensual,10716166,True,True,3.4749959763981915,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
2960,CLI-102960,ingreso_mensual,10566663,True,True,3.4130131872875134,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3028,CLI-103028,ingreso_mensual,8780167,True,False,2.67234574372404,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
3090,CLI-103090,ingreso_mensual,9611515,True,True,3.017016203591628,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3116,CLI-103116,ingreso_mensual,8778575,True,False,2.671685712819883,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
3118,CLI-103118,ingreso_mensual,13670314,True,True,4.699762920778782,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3191,CLI-103191,ingreso_mensual,11590112,True,True,3.8373272380592995,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3215,CLI-103215,ingreso_mensual,9982563,True,True,3.170849838595199,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3268,CLI-103268,ingreso_mensual,9742702,True,True,3.0714053205662877,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3314,CLI-103314,ingreso_mensual,10743571,True,True,3.486357877735142,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3332,CLI-103332,ingreso_mensual,14208577,True,True,4.9229226032940545,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3334,CLI-103334,ingreso_mensual,9743370,True,True,3.0716822682069767,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3490,CLI-103490,ingreso_mensual,10372448,True,True,3.332493148310835,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Valor extremo severo; validar con la fuente original.
3506,CLI-103506,ingreso_mensual,8815257,True,False,2.686893786705744,-5221229.625,8702049.375,1.3669645194851103,Ambos métodos,Posible valor extremo; revisar con reglas de negocio.
